post_title,weight,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color
"Bambu Lab A1 Mini",10.5,"Bambu Lab",simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento|Impresoras 3D > Ensamblada","Bambu Lab|Bambu Lab P1P",,,
"Bambu Lab A1 Mini Combo",24,"Bambu Lab",simple,rated-5,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento|Impresoras 3D > Ensamblada","Bambu Lab|Bambu Lab P1P",,,
"Set de Pinturas Militares Vallejo (X16)",1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas",,,,
"Artillery Sidewinder X3 Pro",24,Artillery,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento","Artillery|impresora 3D",,,
"Artillery Sidewinder X3 Plus",24,Artillery,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento","Artillery|impresora 3D",,,
"Artillery Sidewinder X4 Pro",24,Artillery,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento","Artillery|impresora 3D",,,
"Artillery Sidewinder X4 Plus",46.51,Artillery,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento","Artillery|impresora 3D",,,
"PolyLite PLA Marrón 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Azul,0|1|0
"PolyLite PLA Beige 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Azul,0|1|0
"Anycubic Wash and Cure 3",10.01,Anycubic,simple,,"Impresoras 3D|Impresoras 3D > Postprocesado",,,,
"Elegoo Neptune 4 Plus",24,Elegoo,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento","Elegoo Neptune 3",,,
"Elegoo Neptune 4 Max",40.5,Elegoo,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento","Elegoo Neptune 3",,,
"Kit Hotend Cerámico Bimetálico K1 Series",0.5,Creality,simple,,"Repuestos|Repuestos > Hotends","Creality|Kit Hotend Cerámico",,,
"Creality Ender 3 V3 KE",10.01,Creality,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento","Creality Ender 3 V3 SE",,,
